pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-04,92.5,-2.27,6.57,"Mikolas, Miles",663656,571945,,called_strike,,,,,5,Called Strike,R,L,R,CHC,STL,S,,,0,0,2025,-0.5,1.36,0.01,2.69,,,,2,4,Bot,,,,,,,6.892284341054092,-134.4433776,-7.000346709,-7.571982188,30.78422153224177,-14.34315301,3.63,1.76,,,,92.2,2269,6.3,777246,686780,575929,680977,571448,691026,663457,687363,676475,54.22,,,,,,,,33,1,4-Seam Fastball,7,1,7,1,1,7,7,1,Infield shade,Standard,224,0.004,-0.043,,,,0.043,,6,6,0.9635543376082782,0.9635543376082782,36,28,37,28,3,2,6,1,6,1,1.32,0.5,-0.5,41.3,,,,,
FF,2025-07-04,94.8,-2.49,5.47,"Morton, Charlie",542303,450203,field_out,hit_into_play,,,,,5,Marcell Ozuna flies out to right fielder Ramón Laureano.,R,R,R,ATL,BAL,X,9,fly_ball,2,2,2025,-0.81,1.05,0.23,2.73,660670,663586,,2,3,Bot,212.96,106.27,,,,,8.902375382912409,-137.7949822,-3.876325524,-12.1613965,27.721027095387072,-18.06107158,3.6,1.75,313,93.8,36,95.2,2381,6.4,777252,596142,656811,702616,676059,683002,681297,656775,657656,54.13,0.077,0.128,0,1,0,0,3,26,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,236,-0.077,-0.23,67.3,6.2,0.231,0.23,93.8,-1,-1,0.4475517703966435,0.4475517703966435,41,34,42,35,2,1,10,1,6,1,1.47,0.81,0.81,23.4,12.071138194531757,4.167748423,34.698546077009894,35.70999562200606,24.249190081068225
FF,2025-07-04,97,-1.39,6.25,"Senzatela, Antonio",668942,622608,force_out,hit_into_play,,,,,4,"Josh Rojas grounds into a force out, fielded by shortstop Ryan Ritter. Michael A. Taylor out at 2nd.",R,L,R,COL,CWS,X,6,ground_ball,2,2,2025,-0.32,0.97,-0.34,2.75,700337,,572191,2,4,Top,117.36,152.7,,,,,3.54610442,-141.3166828,-6.114154138,-5.042355924,27.700186831347217,-18.0182321,3.52,1.67,25,102,-5,97.3,2339,6.1,777243,696100,669911,642731,641857,690022,687597,666160,671289,54.43,0.377,0.334,0,1,0,0,2,29,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,205,0.029,-0.229,,,0.426,0.229,102,-2,2,0.27075687381330305,0.729243126,30,31,30,31,2,1,6,1,5,1,1.42,0.32,-0.32,48.8,,,,,
SI,2025-07-04,93.2,-1.4,5.65,"Houser, Adrian",696100,605288,field_out,hit_into_play,,,,,5,Hunter Goodman flies out sharply to center fielder Brooks Baldwin.,R,R,R,COL,CWS,X,8,fly_ball,0,1,2025,-1.07,0.49,-0.19,2.72,,671289,,2,5,Bot,147.02,93.19,,,,,5.537256319683785,-135.7600056,-2.932809839,-14.4199115,26.973456617446704,-25.65145297,3.43,1.61,269,100.5,55,94.8,2150,7,777243,700337,678246,805367,668942,695657,572191,681460,643565,53.52,0.014,0.02,0,1,0,0,3,42,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,225,-0.047,-0.249,75.4,6.7,0.032,0.249,100.5,0,0,0.5468200643994341,0.5468200643994341,32,25,32,26,3,2,6,2,5,1,2.11,1.07,1.07,34,15.910907670412236,-3.40225054,24.562043882268693,34.44579387285898,36.725209522938734
SL,2025-07-04,86.2,1.61,5.74,"Falter, Bailey",810938,663559,field_out,hit_into_play,,,,,8,Ben Williamson flies out to right fielder Bryan Reynolds.,R,R,L,SEA,PIT,X,9,fly_ball,2,2,2025,-0.15,0.84,0.16,1.64,,,,1,5,Bot,183.13,144.72,,,,,-3.201342002,-125.4948445,-5.319794687,-0.958645386,24.304098258649027,-22.48657289,3.53,1.59,196,81.6,60,87.7,2068,7.1,777236,663698,687462,693304,663647,643396,624428,665833,668804,53.41,0.029,0.033,0,1,0,0,3,37,6,Slider,3,0,3,0,0,3,3,0,Standard,Standard,192,0.001,-0.228,71.4,7.7,0.044,0.228,88,3,3,0.8747812787179563,0.8747812787179563,28,24,28,25,2,1,6,1,5,1,2.22,-0.15,0.15,51.7,11.046128749807256,-6.764503373,36.69374312,37.64668700960054,34.27059996511646
SL,2025-07-04,85.5,-1.81,6.14,"Senzatela, Antonio",668942,622608,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,COL,CWS,B,,,1,2,2025,0.54,0.08,0.49,0.37,700337,,572191,2,4,Top,,,,,,,4.294703141597963,-124.3940663,-7.458509036,4.830130625044327,22.685629670223204,-30.20588746,3.48,1.67,,,,85,2406,5.8,777243,696100,669911,642731,641857,690022,687597,666160,671289,54.72,,,,,,,,29,4,Slider,0,2,2,0,2,0,2,0,Standard,Standard,153,-0.01,0.036,,,,-0.036,,-2,2,0.27075687381330305,0.729243126,30,31,30,31,2,1,6,1,5,1,3.02,-0.54,0.54,39.9,,,,,
FF,2025-07-04,93.7,-2.67,5.41,"Morton, Charlie",542303,450203,,foul,,,,,6,Foul,R,R,R,ATL,BAL,S,,,2,2,2025,-0.68,1.1,0.77,2.95,660670,663586,,2,3,Bot,,,,,,,10.403447487886638,-136.1581947,-3.065946234,-10.67280649,28.121197596194822,-17.95366315,3.6,1.75,258,77.7,40,94.1,2389,6.5,777252,596142,656811,702616,676059,683002,681297,656775,657656,54.04,,,,,,,,26,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,239,-0.006,0,72.4,6.8,,0,88,-1,-1,0.4475517703966435,0.4475517703966435,41,34,42,35,2,1,10,1,6,1,1.49,0.68,0.68,21.5,7.739154058475554,4.3391701789354515,29.33628183,44.31251612860929,28.424183521715243
FS,2025-07-04,88.1,-1.68,5.65,"Rea, Colin",669357,607067,,foul,,,,,9,Foul,R,L,R,CHC,STL,S,,,3,2,2025,-0.8,0.01,0.45,2.19,,,,2,5,Top,,,,,,,6.913703358174782,-128.2078719,-2.356786122,-10.27918333,25.896256592354355,-31.7720147,3.5,1.63,61,99.8,2,89,1232,6.8,777246,608348,683737,663538,807713,621020,664023,691718,663656,53.72,,,,,,,,36,6,Split-Finger,7,1,1,7,1,7,1,7,Infield shade,Standard,250,0.004,0,73.7,8.4,,0,99.8,6,-6,0.9752103386208001,0.024789661379199912,34,25,35,25,2,1,6,2,6,1,2.92,0.8,-0.8,33.4,22.15852535282528,-21.89785686,32.983846841773314,37.129022115359874,44.11289363291814
SI,2025-07-04,93.7,-1.7,5.98,"Priester, Quinn",663743,682990,,ball,,,,,12,Ball,R,R,R,MIA,MIL,B,,,1,1,2025,-1.31,0.66,1.21,2.84,,,,2,4,Bot,,,,,,,10.400502106795168,-136.0811409,-3.800001758,-18.5374005,30.74855015618282,-23.35446919,3.16,1.65,,,,93.5,2179,6.4,777254,661388,641343,668930,702332,687401,686555,694192,686217,54.14,,,,,,,,37,3,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,220,-0.01,0.053,,,,-0.053,,-2,-2,0.26153466242238643,0.26153466242238643,24,28,25,29,2,1,6,3,7,3,1.96,1.31,1.31,44.1,,,,,
FF,2025-07-04,92.3,-2.25,6.6,"Mikolas, Miles",664023,571945,field_out,hit_into_play,,,,,4,Ian Happ flies out to center fielder Victor Scott II.,R,L,R,CHC,STL,X,8,fly_ball,0,0,2025,-0.48,1.44,-0.65,2.35,,,,1,4,Bot,104.52,91.71,,,,,5.1249193347645825,-134.0240514,-8.053069472,-7.015495862,31.673517071127396,-13.22790666,3.58,1.65,273,93.4,52,91.7,2216,6.3,777246,686780,575929,680977,571448,691026,663457,687363,676475,54.23,0.009,0.01,0,1,0,0,3,32,1,4-Seam Fastball,7,1,7,1,1,7,7,1,Infield shade,Standard,223,0.002,-0.254,75.3,7.6,0.017,0.254,93.4,6,6,0.9655779181604756,0.9655779181604756,36,30,37,31,3,2,6,1,6,1,1.27,0.48,-0.48,43.9,18.06999892367918,-6.6184683,29.39189102638498,43.15089941806309,34.314973381376205
