"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2025-07-04","83.7","-0.62","6.16","Casparius, Ben",676694,676508,,"foul",,,,,6,"Foul","R","R","R","LAD","HOU","S",,,2,2,2025,"1.21","0.08","0.62","2.51",,,,0,1,"Top",,,,,,,0.48448688350467506,-121.89029406447675,-2.1253388123522425,11.893069523693786,25.466322908405015,-31.182835074781448,"3.45","1.67",191,"76.2",57,"82.8",2989,"5.8",777235,669257,518692,669242,571771,605141,624424,681624,606192,"54.68",,,,,,,,2,5,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",56,"-0.005","0","63.6","7.0",,"0","88.0",-1,1,0.40364969190880795,0.596350308091192,26,29,26,29,1,0,6,1,5,1,"3.19","-1.21","-1.21","43.6",5.2266073982455445,1.9323523478170848,35.09185555298635,44.458448173703665,29.092589250665434
"CH","2025-07-04","83.8","-1.21","5.66","Whitlock, Garrett",605137,676477,,"called_strike",,,,,14,"Called Strike","R","L","R","WSH","BOS","S",,,1,0,2025,"-1.26","-0.05","0.88","2.09",,,663993,0,9,"Bot",,,,,,,7.445359093677499,-122.0170205910088,-1.8625989880402924,-13.991512428086185,20.239745307906713,-32.52559084691493,"3.6","1.69",,,,"85.7",2261,"7.1",777245,665966,647351,666152,691785,596115,681987,678882,677800,"53.37",,,,,,,,81,2,"Changeup",1,11,1,11,11,1,1,11,"Infield shade","Standard",268,"0.001","-0.048",,,,"0.048",,-10,-10,0.0002694528457519934,0.0002694528457519934,29,32,29,33,1,3,5,1,2,1,"3.25","1.26","-1.26","33.8",,,,,
"FF","2025-07-04","92.2","1.03","5.85","Dreyer, Jack",514888,676263,,"called_strike",,,,,9,"Called Strike","R","R","L","LAD","HOU","S",,,1,0,2025,"0.48","1.47","0.4","1.62",,,,2,4,"Top",,,,,,,-2.694493938528472,-134.09586272966345,-8.213147432368288,6.411219927869807,27.667627206154453,-12.911515178429884,"3","1.36",,,,"93.4",2375,"6.9",777235,669257,518692,669242,571771,605141,624424,681624,606192,"53.59",,,,,,,,35,2,"4-Seam Fastball",1,6,6,1,6,1,6,1,"Standard","Standard",159,"-0.009","-0.054",,,,"0.054",,-5,5,0.08988243995615076,0.9101175600438492,26,35,26,35,1,2,3,1,3,1,"1.21","0.48","-0.48","59.5",,,,,
"ST","2025-07-04","82.9","-2.86","5.02","Barlow, Scott",592206,605130,,"foul_tip",,,,,5,"Foul Tip","R","R","R","PHI","CIN","S",,,1,0,2025,"0.35","0.91","-0.21","2.7",,,,1,7,"Bot",,,,,,,5.419375490477028,-120.5851871163483,-0.548720707606603,2.3033848507024577,25.159529355614414,-23.45250405725126,"3.87","1.9",,,,"83.3",2341,"6.7",777255,663886,668715,669289,682622,682829,669720,670770,666181,"53.79",,,,,,,,67,2,"Sweeper",6,9,6,9,9,6,6,9,"Standard","Standard",106,"-0.009","-0.049","74.9","8.5",,"0.049",,-3,-3,0.09985877967442065,0.09985877967442065,32,33,33,33,1,3,3,2,2,1,"2.43","-0.35","-0.35","13.9",29.17973457200104,-29.617809020336164,37.863809022565945,37.30182655966883,46.617523717023936
"SL","2025-07-04","84.1","-3.41","4.93","Walker, Ryan",687515,676254,,"foul",,,,,5,"Foul","R","R","R","ATH","SF","S",,,0,0,2025,"0.96","0.54","0.13","2.07",,,,1,8,"Bot",,,,,,,6.3384960231658365,-122.29226155483596,-1.2197154461353623,8.088559472932982,27.602269457175105,-26.781488872094315,"3.3","1.5",187,"70.5",63,"84",2584,"6.6",777244,672275,642086,666149,689172,642727,671218,808982,682641,"53.9",,,,,,,,69,1,"Slider",11,1,11,1,1,11,11,1,"Standard","Standard",73,"-0.001","-0.039","71.8","8.8",,"0.039","88.0",10,10,0.9999334239874098,0.9999334239874098,29,24,30,24,1,0,5,2,3,4,"2.73","-0.96","-0.96","19.3",19.080243594089904,-30.67618058685298,34.05663982645874,39.778003130393685,42.07470939182703
"FF","2025-07-04","92.6","-0.83","6.13","Littell, Zack",650489,641793,,"swinging_strike",,,,,11,"Swinging Strike","R","L","R","MIN","TB","S",,,0,0,2025,"-0.64","1.22","-0.1","3.84",,,,1,1,"Bot",,,,,,,3.261649148088593,-134.84942111716194,-2.737038504574539,-8.53990138666453,27.638135345950623,-16.91630216297234,"3.68","1.71",,,,"92.9",2064,"6.3",777247,643376,666018,664040,691406,673490,663968,802415,666139,"54.23",,,,,,,,5,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",212,"0","-0.039","59.9","5.8",,"0.039",,0,0,0.5262814372791581,0.5262814372791581,29,28,30,28,1,0,6,1,5,1,"1.43","0.64","-0.64","42.4",-5.979477948130516,39.908133282517205,30.18590663673737,32.55665253802782,8.082673266845156
"FF","2025-07-04","96.5","-1.74","5.84","Strider, Spencer",676059,675911,,"called_strike",,,,,7,"Called Strike","R","R","R","ATL","BAL","S",,,1,1,2025,"-0.51","1.23","-0.36","1.9",,,,1,1,"Top",,,,,,,4.91332825059031,-140.33752269249783,-7.808882709561899,-7.895153585084659,31.37767426747101,-14.384563527765515,"3.56","1.6",,,,"97.8",2378,"7",777252,686948,621566,645277,663586,669397,595777,671739,660670,"53.48",,,,,,,,2,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",212,"0","-0.064",,,,"0.064",,0,0,0.5219503847176113,0.47804961528238865,26,26,27,26,1,0,5,7,6,1,"1.22","0.51","0.51","41.6",,,,,
"CH","2025-07-04","87.8","-2.18","6.48","Mikolas, Miles",663656,571945,,"ball",,,,,14,"Ball","R","L","R","CHC","STL","B",,,1,1,2025,"-1.16","0.95","0.46","0.55",,,,1,1,"Bot",,,,,,,8.759977817347785,-127.25575057282623,-10.14617674012734,-14.361515857092488,24.927639827761443,-19.962892059269624,"3.51","1.62",,,,"87.7",2075,"6.4",777246,686780,575929,680977,571448,691026,663457,687363,676475,"54.13",,,,,,,,5,3,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",222,"0","0.055",,,,"-0.055",,0,0,0.5262814372791581,0.5262814372791581,36,28,37,28,1,0,6,1,6,1,"2.02","1.16","-1.16","42.7",,,,,
"FF","2025-07-04","93.6","1.72","6.05","Lauer, Eric",694384,641778,,"foul",,,,,12,"Foul","R","L","L","TOR","LAA","S",,,1,2,2025,"0.96","1.35","0.98","3.76",,,,1,1,"Top",,,,,,,-4.0222141062009165,-136.13308249148474,-3.0683261136690825,12.835845168221365,32.68217093697298,-15.0503458269953,"3.59","1.66",63,"49.4",77,"93",2154,"6.2",777242,623168,695238,665926,676391,666182,676914,664770,680718,"54.32",,,,,,,,2,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",141,"0","0","60.6","5.4",,"0","88.0",0,0,0.5219503847176113,0.47804961528238865,30,23,30,23,1,0,5,1,5,1,"1.28","0.96","0.96","37.6",9.084840626072724,-1.5935416227453632,36.205687638712874,19.64212990239282,25.695470394598658
"ST","2025-07-04","83.6","-2.33","5.44","Black, Mason",805779,696131,"field_error","hit_into_play",,,,,12,"Jacob Wilson reaches on a fielding error by third baseman Sergio Alcántara.","R","R","R","ATH","SF","X",5,"ground_ball",0,2,2025,"1.3","-0.08","0.85","2.8",,,,1,4,"Bot",108.74,162.83,,,,,4.791764925277964,-121.6163667097468,0.5587955605505455,11.812507903072971,25.75411080339378,-33.29397613676869,"3.13","1.5",5,"77.6",-32,"83.5",2733,"6.4",777244,672275,527038,666149,642727,642715,671218,808982,682641,"54.08",0.031,0.04,"0.9",1,0,0,2,34,3,"Sweeper",6,0,6,0,0,6,6,0,"Standard","Strategic",43,"0.007","0.554","52.7","6.4",0.031,"-0.554","88.0",6,6,0.9655779181604756,0.9655779181604756,25,23,26,23,1,2,,4,,1,"3.36","-1.3","-1.3","28.9",9.608913243822938,-4.457734671717825,18.872646936102768,44.63168036394161,33.82565922753117
